"","BothControl1","BothControl2","BothControl3","AdultIUGR1","AdultIUGR2","AdultIUGR3","AdultLact1","AdultLact2","AdultLact3","OffIUGR1","OffIUGR2","OffIUGR3","OffLact1","OffLact2","OffLact3"
"1434891_at",5.41147155381338,4.80340639670965,5.41746768719263,4.69958883594139,4.94028893486308,5.05075564054549,4.91697695786776,4.59451264379509,5.54593770920133,4.7459099414106,4.85203615000498,5.29529148276048,5.0383426523393,4.88497186603131,4.70610007511425
"1448816_at",4.42423712644907,4.90936290979933,4.69167349744386,4.76195958400574,4.7659315832102,4.62251939208454,4.79940531378517,4.75071641944296,5.05967709479086,4.14945711274279,4.74131680610548,4.77395488216616,5.00303385530229,4.37747808476915,4.74656450774953
"1459827_x_at",6.52924443062835,6.2161699049722,6.2469372650103,6.95796852951603,6.90131156322523,6.82257724494228,6.93043002508793,7.42351857659537,7.11562935562358,6.52830009003966,6.59419635436076,7.08662813385469,6.76890773940628,6.60961713145862,6.86224727833585
"1436448_a_at",4.60468492006145,4.8143169156855,5.00285381504755,4.64450335754475,4.68204966374082,4.99890640645257,5.06111136833988,4.78639944155145,5.02544096521546,4.6131980626566,4.90398534988849,4.79906452059118,5.28342436165376,4.82014274526514,4.91155472343628
"1417092_at",5.24164934660326,5.63743656293604,5.66031602662369,5.55880658839416,5.03852168915389,5.86042578766384,5.69152020684616,5.3295969565081,5.46653058944216,5.40093566963238,5.68738489417396,5.56068886235274,5.793357583461,5.6375298920413,5.57229472103529
"1418390_at",6.56246781029994,6.34437897416954,6.51288007514541,6.40994640103627,6.18487716390237,6.59324163284796,6.5244268713947,6.29524079906082,6.27031271239215,6.64674352170039,6.58177307556086,6.58595926802884,6.27294548938083,6.17661734372076,6.08579988721856
"1420725_at",5.06848696690758,5.35698466444696,5.59289466505614,4.82141188010237,5.32328072348218,5.10014616759599,5.87496219294831,5.35698466444696,5.01929816896589,5.33750563793099,5.34071324728587,5.35698466444696,5.56346130939834,5.35490107923345,5.62831442735179
"1436902_x_at",7.13194003941058,7.06255012626909,7.1215561330668,6.94549849834099,6.7874693495956,6.81009123007876,7.06490705945616,6.980032258685,6.83391823589291,6.11350602898758,6.52423511284616,6.4830280857691,6.64734098994793,6.03483893646026,6.49805940672126
"1420612_s_at",6.51636995745135,6.78818110383421,7.07716845751939,6.75035955719206,6.90340584576451,6.62503453252574,6.55373019694472,6.38051107814813,7.04922146693519,6.71774043322078,7.12434195539981,6.20181737884765,7.0781116934646,6.68712092386131,6.63402083025552
"1418181_at",5.05075564054549,5.35464804641517,5.08991846332139,5.32211349994976,5.30282162074729,5.66634384429058,5.95808522741801,5.62523513713145,5.78077475055775,4.6458978258055,5.03884907164035,4.91763019812718,5.19177422716391,5.14759857053003,5.60013375264145
"1427699_a_at",4.73516088124831,4.64259376519071,4.69193979140665,4.4333196802787,4.52567731422646,4.61094991680431,3.98646013291395,3.75715920518967,4.82183222127492,4.94315354459121,4.85849451284397,4.22657695068466,4.52888006609909,4.52888006609909,3.95983946839837
"1452127_a_at",3.16293199379122,3.1018387044775,3.04987137624708,3.42787673978291,3.2880627131034,3.67419554476703,3.39806858483825,3.50477826464524,3.51056184604114,3.19511866646935,3.21057237401661,3.34091812265715,3.0310285691238,3.37418369304134,3.51196273318318
"1448830_at",8.7667820000929,8.13380502870472,8.29749255450908,9.05943145088513,7.9576829289682,8.66065491087798,8.54901836218817,7.95782293683229,8.59259739557107,8.5298639990319,8.44940452869552,7.96101915579669,8.03639995986228,8.38081769089664,8.8597707550595
"1438562_a_at",8.00316713057838,8.21121786908993,8.05778389967838,8.17278592653534,7.87480518090216,8.12302467036716,8.38530751432579,8.04141094228881,8.10182515310634,8.13508072058736,7.94522172327371,8.20379151557774,7.64030784866911,7.72162422956286,7.76376807015688
"1416985_at",6.44849441958538,6.72852404988467,7.57658158667001,7.04656622523814,6.69573636180213,7.07018922421624,6.83273818422249,7.46850792789235,7.09090711323026,7.0106034906437,6.91256063408331,7.27352835236229,7.71919259113192,7.10508666856303,7.03400862422177
"1436367_at",8.38593089247339,8.41948834243089,8.10065521838229,8.42061153872833,8.33363145200338,8.72523683504844,8.53239010062758,8.21322787334389,8.45887518955121,7.86565347268527,8.34182335152279,7.96884749073891,8.30964916318921,8.0609036361309,8.49399626528501
"1422124_a_at",4.82292960511353,5.58511126646446,5.64889531394579,4.88974702355237,4.93029618308539,4.99602121484011,5.59135364819391,5.79350251588303,5.61353877939687,4.70506793791896,5.16463405248576,5.06048261610577,5.43553817906823,4.93089159816522,5.18721245352738
"1422341_s_at",3.23662906892209,3.27238591484659,3.05684864643456,3.25939711745162,3.48370862283395,2.93374471680018,3.04063812557951,3.39218915325197,3.25939711745162,3.02954059959464,3.25605650035868,3.24605417334436,3.47758607394064,3.72574368901366,3.25058830660371
"1443860_at",3.8817919017228,4.12559906120246,3.7961228993467,3.78499078964194,3.67166533644937,3.82490084748676,4.11471491718202,3.6489178670595,4.04931415719921,4.30790084341011,4.00814064714854,3.30152606075545,3.59716596003036,3.54929937004473,3.60885577611963
"1448547_at",7.64946675463365,7.61992924919358,7.38021135979884,7.63178152036404,7.85353876762731,7.71717791053689,7.38486070786348,7.20933641695137,7.85417025667719,7.97357822491369,7.77376227710812,7.25313493800269,8.02488849422438,8.12089036093919,8.06109835774234
